  0.0000   0.0000   2.0000
  0.1250   0.0000   1.8750
  0.2500   0.0000   1.7500
  0.3750   0.0000   1.6250
  0.5000   0.0000   1.5000
  0.6250   0.0000   1.3750
  0.7500   0.0000   1.2500
  0.8750   0.0000   1.1250
  1.0000   0.0000   1.0000

  0.0000   0.1250   1.8750
  0.1250   0.1250   1.0993
  0.2500   0.1250   0.7159
  0.3750   0.1250   0.5984
  0.5000   0.1250   0.5460
  0.6250   0.1250   0.5033
  0.7500   0.1250   0.4900
  0.8750   0.1250   0.5951
  1.0000   0.1250   0.8750

  0.0000   0.2500   1.7500
  0.1250   0.2500   0.7159
  0.2500   0.2500   0.2328
  0.3750   0.2500   0.1229
  0.5000   0.2500   0.1045
  0.6250   0.2500   0.0996
  0.7500   0.2500   0.1337
  0.8750   0.2500   0.3255
  1.0000   0.2500   0.7500

  0.0000   0.3750   1.6250
  0.1250   0.3750   0.5984
  0.2500   0.3750   0.1229
  0.3750   0.3750   0.0208
  0.5000   0.3750   0.0103
  0.6250   0.3750   0.0128
  0.7500   0.3750   0.0509
  0.8750   0.3750   0.2322
  1.0000   0.3750   0.6250

  0.0000   0.5000   1.5000
  0.1250   0.5000   0.5460
  0.2500   0.5000   0.1045
  0.3750   0.5000   0.0103
  0.5000   0.5000   0.0011
  0.6250   0.5000   0.0037
  0.7500   0.5000   0.0350
  0.8750   0.5000   0.1821
  1.0000   0.5000   0.5000

  0.0000   0.6250   1.3750
  0.1250   0.6250   0.5033
  0.2500   0.6250   0.0996
  0.3750   0.6250   0.0128
  0.5000   0.6250   0.0037
  0.6250   0.6250   0.0048
  0.7500   0.6250   0.0276
  0.8750   0.6250   0.1372
  1.0000   0.6250   0.3750

  0.0000   0.7500   1.2500
  0.1250   0.7500   0.4900
  0.2500   0.7500   0.1337
  0.3750   0.7500   0.0509
  0.5000   0.7500   0.0350
  0.6250   0.7500   0.0276
  0.7500   0.7500   0.0346
  0.8750   0.7500   0.0996
  1.0000   0.7500   0.2500

  0.0000   0.8750   1.1250
  0.1250   0.8750   0.5951
  0.2500   0.8750   0.3255
  0.3750   0.8750   0.2322
  0.5000   0.8750   0.1821
  0.6250   0.8750   0.1372
  0.7500   0.8750   0.0996
  0.8750   0.8750   0.0909
  1.0000   0.8750   0.1250

  0.0000   1.0000   1.0000
  0.1250   1.0000   0.8750
  0.2500   1.0000   0.7500
  0.3750   1.0000   0.6250
  0.5000   1.0000   0.5000
  0.6250   1.0000   0.3750
  0.7500   1.0000   0.2500
  0.8750   1.0000   0.1250
  1.0000   1.0000   0.0000

